algorithm,run_id,seed,generation,evaluations,population_size,feasible_count,feasible_fraction,mean_total_constraint_violation,max_total_constraint_violation,non_dominated_count,hv_against_zero_reference,max_social_reliability,max_economic_efficiency,max_ecological_security,data_status
IA-NSGA-III,3,1809038,20,960,48,48,1.0,0.0,0.0,18,0.36404673075544364,0.6667942591860113,0.718708256757816,0.7634760745753764,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,3,1809038,21,1008,48,48,1.0,0.0,0.0,14,0.3739425821624534,0.6737917810681373,0.7309502657783818,0.7634760745753764,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,3,1809038,22,1056,48,48,1.0,0.0,0.0,18,0.3800809440374172,0.6737917810681373,0.7422729644970953,0.7634760745753764,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,3,1809038,23,1104,48,48,1.0,0.0,0.0,19,0.39264458385641304,0.6893375305855067,0.7437742700534598,0.7707236010538032,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,3,1809038,24,1152,48,48,1.0,0.0,0.0,25,0.3966532985848455,0.692265039168817,0.7482892069785593,0.7707236010538032,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,3,1809038,25,1200,48,48,1.0,0.0,0.0,24,0.4056920882222713,0.6936878544154925,0.7594357075450877,0.7750667914153795,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,3,1809038,26,1248,48,48,1.0,0.0,0.0,16,0.4142094686295568,0.7021330212245674,0.7594357075450877,0.7813644918893623,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,3,1809038,27,1296,48,48,1.0,0.0,0.0,14,0.4227848322239136,0.7136547762616919,0.7624083635105656,0.7813644918893623,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,3,1809038,28,1344,48,48,1.0,0.0,0.0,21,0.4259237377330814,0.7136547762616919,0.7679988833531923,0.7813644918893623,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,3,1809038,29,1392,48,48,1.0,0.0,0.0,20,0.42914273547000903,0.7148074515739348,0.771594196829841,0.7821314859814479,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,3,1809038,30,1440,48,48,1.0,0.0,0.0,23,0.429648928260411,0.7148074515739348,0.771594196829841,0.7821314859814479,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,4,1809039,1,48,48,46,0.9583333333333334,0.004865588363827884,0.2335482414637382,3,0.23858089215727055,0.5831475144639743,0.5893529257056378,0.7016801721452512,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,4,1809039,2,96,48,48,1.0,0.0,0.0,7,0.24450700773099343,0.5831475144639743,0.6032373273390979,0.7016801721452512,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,4,1809039,3,144,48,48,1.0,0.0,0.0,11,0.2489654757501353,0.5831475144639743,0.612797211803264,0.7016801721452512,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,4,1809039,4,192,48,48,1.0,0.0,0.0,12,0.2541035213442941,0.5831475144639743,0.612797211803264,0.7170128877973849,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,4,1809039,5,240,48,48,1.0,0.0,0.0,15,0.26686461434059444,0.5868084648433164,0.6341212345577659,0.7258797616641843,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,4,1809039,6,288,48,48,1.0,0.0,0.0,7,0.2824809315975378,0.602092929271892,0.6509224916904294,0.7258797616641843,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,4,1809039,7,336,48,48,1.0,0.0,0.0,10,0.28642238132993525,0.6089236694842083,0.6509224916904294,0.7258797616641843,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,4,1809039,8,384,48,48,1.0,0.0,0.0,12,0.29598547948930387,0.6164391570234076,0.6650303540711158,0.7258797616641843,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,4,1809039,9,432,48,48,1.0,0.0,0.0,12,0.2967239234061931,0.6164391570234076,0.6650303540711158,0.7258797616641843,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,4,1809039,10,480,48,48,1.0,0.0,0.0,16,0.31453867888750786,0.6289129567439947,0.6915880237595395,0.7258797616641843,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,4,1809039,11,528,48,48,1.0,0.0,0.0,15,0.32042884280760364,0.6352683608758041,0.6915880237595395,0.732289234275017,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,4,1809039,12,576,48,48,1.0,0.0,0.0,11,0.33855083896172716,0.6485194954465461,0.7060667543711127,0.7446692114576585,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,4,1809039,13,624,48,48,1.0,0.0,0.0,7,0.339587305722296,0.6485194954465461,0.7060667543711127,0.7446692114576585,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,4,1809039,14,672,48,48,1.0,0.0,0.0,12,0.3505126507273647,0.6552332158861182,0.7218315084562844,0.7446692114576585,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,4,1809039,15,720,48,48,1.0,0.0,0.0,12,0.35299203606820523,0.6590976921071865,0.7218315084562844,0.7446692114576585,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,4,1809039,16,768,48,48,1.0,0.0,0.0,3,0.37322535667292084,0.6718787418104609,0.739027381822247,0.7542001242385074,经过处理的数据 / public-data surrogate; not author-run logs
