algorithm,run_id,seed,stored_hv,recomputed_hv,hv_abs_difference,stored_igd,recomputed_igd,igd_abs_difference,metric_population,data_status
NSGA-III,2,1909037,0.3508013996969388,0.3508013996969388,0.0,0.1918495034135745,0.1918495034135745,0.0,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-III,3,1909038,0.3390335660555999,0.3390335660555999,0.0,0.1985799468650709,0.19857994686507094,2.7755575615628914e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-III,4,1909039,0.3658751997468584,0.36587519974685845,5.551115123125783e-17,0.1637403959094035,0.1637403959094035,0.0,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-III,5,1909040,0.3548117984853619,0.35481179848536193,5.551115123125783e-17,0.1862206260197985,0.18622062601979852,2.7755575615628914e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-III,6,1909041,0.3572469476828673,0.35724694768286736,5.551115123125783e-17,0.1892035236970745,0.1892035236970745,0.0,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-III,7,1909042,0.3543137961202364,0.3543137961202364,0.0,0.1822340646348521,0.1822340646348521,0.0,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-III,8,1909043,0.3491329865315727,0.3491329865315727,0.0,0.1870705878165087,0.18707058781650876,5.551115123125783e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-III,9,1909044,0.3756612163402106,0.37566121634021066,5.551115123125783e-17,0.1609245009877324,0.1609245009877324,0.0,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-III,10,1909045,0.3677528309257499,0.3677528309257499,0.0,0.1723469761149982,0.17234697611499822,2.7755575615628914e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-III,11,1909046,0.3547393479592493,0.3547393479592493,0.0,0.1882738602478788,0.18827386024787887,8.326672684688674e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-III,12,1909047,0.3717394461838466,0.3717394461838466,0.0,0.1590063621543636,0.15900636215436362,2.7755575615628914e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-III,13,1909048,0.3489010639452876,0.34890106394528764,5.551115123125783e-17,0.1865208908253154,0.18652089082531545,5.551115123125783e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-III,14,1909049,0.3556783079091533,0.3556783079091533,0.0,0.1761950638999023,0.17619506389990233,2.7755575615628914e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-III,15,1909050,0.3273595109260026,0.3273595109260026,0.0,0.211091130926324,0.21109113092632406,5.551115123125783e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-III,16,1909051,0.3837321100627981,0.3837321100627981,0.0,0.1589566293885206,0.15895662938852062,2.7755575615628914e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-III,17,1909052,0.3340164384534196,0.3340164384534196,0.0,0.2011473438383721,0.20114734383837216,5.551115123125783e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-III,18,1909053,0.350210292421378,0.350210292421378,0.0,0.1907473691910042,0.19074736919100427,5.551115123125783e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-III,19,1909054,0.3379243642084424,0.3379243642084424,0.0,0.2064087677966123,0.20640876779661238,8.326672684688674e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-III,20,1909055,0.3490067743760698,0.3490067743760698,0.0,0.1845764911520857,0.18457649115208571,2.7755575615628914e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-III,21,1909056,0.3801692355061988,0.3801692355061988,0.0,0.154852347422932,0.15485234742293208,8.326672684688674e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-III,22,1909057,0.37120279300837,0.37120279300837,0.0,0.1599186372591862,0.1599186372591862,0.0,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-III,23,1909058,0.3423082612285661,0.34230826122856617,5.551115123125783e-17,0.196095722084446,0.19609572208444606,5.551115123125783e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-III,24,1909059,0.3663237818300977,0.36632378183009773,5.551115123125783e-17,0.1740067552414343,0.17400675524143436,5.551115123125783e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-III,25,1909060,0.3511987887034496,0.3511987887034496,0.0,0.1941810874314214,0.19418108743142148,8.326672684688674e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-III,26,1909061,0.3486844126717006,0.3486844126717006,0.0,0.1827401244415371,0.18274012444153714,5.551115123125783e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-III,27,1909062,0.3826099542282518,0.38260995422825184,5.551115123125783e-17,0.1555013234316848,0.15550132343168482,2.7755575615628914e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-III,28,1909063,0.3540148696516871,0.35401486965168716,5.551115123125783e-17,0.1840434086151406,0.1840434086151406,0.0,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-III,29,1909064,0.3565287635240445,0.3565287635240445,0.0,0.1807664357967811,0.1807664357967811,0.0,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-III,30,1909065,0.3530805127357941,0.35308051273579416,5.551115123125783e-17,0.1882697527457463,0.1882697527457463,0.0,feasible,newly executed 30-run surrogate verification; not original author-run logs
MOEA/D,1,2009036,0.2031229815298602,0.20312298152986008,1.1102230246251565e-16,0.3782375630694832,0.3782375630694832,0.0,all_no_feasible,newly executed 30-run surrogate verification; not original author-run logs
MOEA/D,2,2009037,0.2106782151713861,0.21067821517138605,5.551115123125783e-17,0.3663380368283139,0.3663380368283141,2.220446049250313e-16,all_no_feasible,newly executed 30-run surrogate verification; not original author-run logs
MOEA/D,3,2009038,0.217476147117097,0.217476147117097,0.0,0.3587452837216985,0.35874528372169856,5.551115123125783e-17,all_no_feasible,newly executed 30-run surrogate verification; not original author-run logs
MOEA/D,4,2009039,0.2273125735357703,0.2273125735357703,0.0,0.3403555303115114,0.3403555303115114,0.0,feasible,newly executed 30-run surrogate verification; not original author-run logs
MOEA/D,5,2009040,0.220876928781322,0.220876928781322,0.0,0.3474726377808806,0.34747263778088067,5.551115123125783e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
MOEA/D,6,2009041,0.2104153345488587,0.2104153345488587,0.0,0.3670191698761967,0.3670191698761967,0.0,feasible,newly executed 30-run surrogate verification; not original author-run logs
MOEA/D,7,2009042,0.2162055936030375,0.2162055936030375,0.0,0.3592526890201317,0.3592526890201317,0.0,all_no_feasible,newly executed 30-run surrogate verification; not original author-run logs
MOEA/D,8,2009043,0.1975367018379379,0.1975367018379379,0.0,0.384761200787092,0.38476120078709203,5.551115123125783e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
MOEA/D,9,2009044,0.1931065235736342,0.19310652357363425,5.551115123125783e-17,0.3946789183171165,0.3946789183171165,0.0,all_no_feasible,newly executed 30-run surrogate verification; not original author-run logs
MOEA/D,10,2009045,0.218584466735295,0.21858446673529508,8.326672684688674e-17,0.3499232543731893,0.3499232543731893,0.0,feasible,newly executed 30-run surrogate verification; not original author-run logs
MOEA/D,11,2009046,0.2040487222635867,0.2040487222635867,0.0,0.3735000515905919,0.37350005159059196,5.551115123125783e-17,all_no_feasible,newly executed 30-run surrogate verification; not original author-run logs
MOEA/D,12,2009047,0.2122183367689635,0.2122183367689635,0.0,0.3625425695416446,0.36254256954164465,5.551115123125783e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
MOEA/D,13,2009048,0.2053309511685809,0.2053309511685809,0.0,0.3741494675242253,0.3741494675242254,1.1102230246251565e-16,all_no_feasible,newly executed 30-run surrogate verification; not original author-run logs
MOEA/D,14,2009049,0.2206249052151497,0.22062490521514974,2.7755575615628914e-17,0.3501675595025823,0.3501675595025823,0.0,feasible,newly executed 30-run surrogate verification; not original author-run logs
MOEA/D,15,2009050,0.1938937949992193,0.1938937949992193,0.0,0.3898723947400528,0.389872394740053,1.6653345369377348e-16,feasible,newly executed 30-run surrogate verification; not original author-run logs
MOEA/D,16,2009051,0.2212560725247633,0.22125607252476334,5.551115123125783e-17,0.345499003951381,0.345499003951381,0.0,feasible,newly executed 30-run surrogate verification; not original author-run logs
MOEA/D,17,2009052,0.2195181698252274,0.21951816982522748,8.326672684688674e-17,0.3537410595218505,0.3537410595218505,0.0,feasible,newly executed 30-run surrogate verification; not original author-run logs
MOEA/D,18,2009053,0.2362143176691124,0.23621431766911244,2.7755575615628914e-17,0.3195020070894014,0.31950200708940146,5.551115123125783e-17,all_no_feasible,newly executed 30-run surrogate verification; not original author-run logs
MOEA/D,19,2009054,0.2367693459334722,0.23676934593347224,2.7755575615628914e-17,0.3210798614881145,0.32107986148811457,5.551115123125783e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
MOEA/D,20,2009055,0.1894821792480583,0.18948217924805835,5.551115123125783e-17,0.4027205146824081,0.40272051468240816,5.551115123125783e-17,all_no_feasible,newly executed 30-run surrogate verification; not original author-run logs
MOEA/D,21,2009056,0.2651911996884856,0.26519119968848565,5.551115123125783e-17,0.2805476954189006,0.2805476954189006,0.0,all_no_feasible,newly executed 30-run surrogate verification; not original author-run logs
MOEA/D,22,2009057,0.2195597590055752,0.21955975900557528,8.326672684688674e-17,0.3520800862803281,0.35208008628032816,5.551115123125783e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
MOEA/D,23,2009058,0.2344720007683452,0.2344720007683452,0.0,0.3311309819005594,0.3311309819005594,0.0,all_no_feasible,newly executed 30-run surrogate verification; not original author-run logs
MOEA/D,24,2009059,0.2317958022988393,0.23179580229883937,5.551115123125783e-17,0.3308995879190938,0.33089958791909385,5.551115123125783e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
MOEA/D,25,2009060,0.2085371596009553,0.20853715960095537,5.551115123125783e-17,0.3683733450788872,0.3683733450788873,1.1102230246251565e-16,all_no_feasible,newly executed 30-run surrogate verification; not original author-run logs
MOEA/D,26,2009061,0.2355354668726081,0.23553546687260815,5.551115123125783e-17,0.3234694690208574,0.3234694690208574,0.0,feasible,newly executed 30-run surrogate verification; not original author-run logs
MOEA/D,27,2009062,0.209710138670803,0.20971013867080296,2.7755575615628914e-17,0.3721221086929944,0.37212210869299445,5.551115123125783e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
MOEA/D,28,2009063,0.2325381898241174,0.23253818982411742,2.7755575615628914e-17,0.3319583617414387,0.3319583617414387,0.0,all_no_feasible,newly executed 30-run surrogate verification; not original author-run logs
MOEA/D,29,2009064,0.2375307350794657,0.2375307350794657,0.0,0.3233266447663048,0.32332664476630485,5.551115123125783e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
MOEA/D,30,2009065,0.2161424009318913,0.21614240093189138,8.326672684688674e-17,0.3553146174123002,0.35531461741230025,5.551115123125783e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-II,1,2109036,0.3715189547679224,0.3715189547679224,0.0,0.1694558437767437,0.16945584377674378,8.326672684688674e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-II,2,2109037,0.3733396783985018,0.3733396783985018,0.0,0.1730457182939928,0.1730457182939928,0.0,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-II,3,2109038,0.4021310031433504,0.40213100314335043,5.551115123125783e-17,0.1364934138575852,0.13649341385758526,5.551115123125783e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-II,4,2109039,0.3636395088226015,0.3636395088226015,0.0,0.1777264026057744,0.17772640260577444,2.7755575615628914e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-II,5,2109040,0.3923585707162556,0.39235857071625563,5.551115123125783e-17,0.1514166373760661,0.15141663737606617,8.326672684688674e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-II,6,2109041,0.3947171226396185,0.3947171226396185,0.0,0.1448107674277796,0.14481076742777968,8.326672684688674e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-II,7,2109042,0.3741788140256868,0.37417881402568687,5.551115123125783e-17,0.168878472744665,0.16887847274466503,2.7755575615628914e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-II,8,2109043,0.3558526937416388,0.35585269374163886,5.551115123125783e-17,0.1766144521384746,0.17661445213847463,2.7755575615628914e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-II,9,2109044,0.3954718812883903,0.39547188128839034,5.551115123125783e-17,0.1458614688700501,0.14586146887005016,5.551115123125783e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-II,10,2109045,0.3601180029984285,0.36011800299842855,5.551115123125783e-17,0.1820263649534663,0.18202636495346639,8.326672684688674e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-II,11,2109046,0.3541984662930848,0.3541984662930848,0.0,0.1864881782739661,0.1864881782739661,0.0,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-II,12,2109047,0.3752611802729922,0.37526118027299227,5.551115123125783e-17,0.1671550420056543,0.16715504200565431,2.7755575615628914e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
